sentence,key_point,stance,label
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",We need to manage growth better.,-1,-1
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",Real estate taxes are too high,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",Please provide safety for cyclists.,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",Utilities are too high.,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",ROAD QUALITY IS POOR,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",We need infrastructure to support rapid growth,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",Affordable housing for low income /working families,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",Growth needs to pay for itself.,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",HOUSING PRICES ARE OUT OF CONTROL.,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",The police are too reactive and authoritarian.,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",PRESERVE THE LOCAL NEIGHBORHOODS ZONING.,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",Embrace growth and innovation!,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",PROPERTY TAXES ARE DRIVING PEOPLE OUT.,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",homeless population grows and spreads out.,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive","privatize utilities, energy, water, etc.",-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",Code issues are hurting the city.,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",MAKE TAXES MORE AFFORDABLE.,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",TAKE BETTER CARE OF THE HOMELESS!,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",WATER CONSERVATION IS A PRIORITY.,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",QUALITY OF LIFE FOR RETIREES,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",Police are overusing and abusing authority,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",CRIME IS ON THE INCREASE.,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",TOLL ROADS DISCRIMINATE AGAINST LOW INCOME PEOPLE.,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",ADA COMPLIANCE IS LACKING,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",You can't make affordable housing by subsidy.,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",AFFORDABILITY ACROSS ALL HOUSEHOLD INCOMES,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",Better training of utility employees!!,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive","Effective, affordable ride-share networks are critical.",-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",INCREASE SOCIAL SECURITY FOR ELDERLY.,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",More affordable apartments for senior independent living,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",Gentrification is out of control.,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",We need cleaner streets/roads,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",PROVIDE MORE GREEN SPACE,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",The city is becoming extremely unaffordable.,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",This city needs more motor vehicle traffic lanes!!,-1,0
Bring back Uber and LYFT!,Traffic congestion needs major improvement,-1,0
Bring back Uber and LYFT!,Austin needs better public transportation,-1,0
Bring back Uber and LYFT!,Austin needs more affordable housing,-1,0
Bring back Uber and LYFT!,security is top priority,-1,0
Bring back Uber and LYFT!,THE HOMELESS POPULATION NEEDS MORE HELP/ATTENTION,-1,0
Bring back Uber and LYFT!,AFFORDABLE HOUSING TO KEEP CITY DIVERSE.,-1,0
Bring back Uber and LYFT!,BETTER LONG RANGE PLANNING ON TRAFFIC FLOW.,-1,0
Bring back Uber and LYFT!,We need to manage growth better.,-1,0
Bring back Uber and LYFT!,Real estate taxes are too high,-1,0
Bring back Uber and LYFT!,Please provide safety for cyclists.,-1,0
Bring back Uber and LYFT!,Utilities are too high.,-1,0
Bring back Uber and LYFT!,ROAD QUALITY IS POOR,-1,0
Bring back Uber and LYFT!,We need infrastructure to support rapid growth,-1,0
Bring back Uber and LYFT!,Affordable housing for low income /working families,-1,0
Bring back Uber and LYFT!,Growth needs to pay for itself.,-1,0
Bring back Uber and LYFT!,HOUSING PRICES ARE OUT OF CONTROL.,-1,0
Bring back Uber and LYFT!,The police are too reactive and authoritarian.,-1,0
Bring back Uber and LYFT!,PRESERVE THE LOCAL NEIGHBORHOODS ZONING.,-1,0
Bring back Uber and LYFT!,Embrace growth and innovation!,-1,0
Bring back Uber and LYFT!,PROPERTY TAXES ARE DRIVING PEOPLE OUT.,-1,0
Bring back Uber and LYFT!,homeless population grows and spreads out.,-1,0
Bring back Uber and LYFT!,"privatize utilities, energy, water, etc.",-1,0
Bring back Uber and LYFT!,Code issues are hurting the city.,-1,0
Bring back Uber and LYFT!,MAKE TAXES MORE AFFORDABLE.,-1,0
Bring back Uber and LYFT!,TAKE BETTER CARE OF THE HOMELESS!,-1,0
Bring back Uber and LYFT!,WATER CONSERVATION IS A PRIORITY.,-1,0
Bring back Uber and LYFT!,QUALITY OF LIFE FOR RETIREES,-1,0
Bring back Uber and LYFT!,Police are overusing and abusing authority,-1,0
Bring back Uber and LYFT!,CRIME IS ON THE INCREASE.,-1,0
Bring back Uber and LYFT!,TOLL ROADS DISCRIMINATE AGAINST LOW INCOME PEOPLE.,-1,0
Bring back Uber and LYFT!,ADA COMPLIANCE IS LACKING,-1,0
Bring back Uber and LYFT!,You can't make affordable housing by subsidy.,-1,0
Bring back Uber and LYFT!,AFFORDABILITY ACROSS ALL HOUSEHOLD INCOMES,-1,0
Bring back Uber and LYFT!,Better training of utility employees!!,-1,0
Bring back Uber and LYFT!,"Effective, affordable ride-share networks are critical.",-1,1
Bring back Uber and LYFT!,INCREASE SOCIAL SECURITY FOR ELDERLY.,-1,0
Bring back Uber and LYFT!,More affordable apartments for senior independent living,-1,0
Bring back Uber and LYFT!,Gentrification is out of control.,-1,0
Bring back Uber and LYFT!,We need cleaner streets/roads,-1,0
Bring back Uber and LYFT!,PROVIDE MORE GREEN SPACE,-1,0
Bring back Uber and LYFT!,The city is becoming extremely unaffordable.,-1,0
Bring back Uber and LYFT!,This city needs more motor vehicle traffic lanes!!,-1,0
I would love to see more of a focus on quality education.,Traffic congestion needs major improvement,-1,0
I would love to see more of a focus on quality education.,Austin needs better public transportation,-1,0
I would love to see more of a focus on quality education.,Austin needs more affordable housing,-1,0
I would love to see more of a focus on quality education.,security is top priority,-1,0
I would love to see more of a focus on quality education.,THE HOMELESS POPULATION NEEDS MORE HELP/ATTENTION,-1,0
I would love to see more of a focus on quality education.,AFFORDABLE HOUSING TO KEEP CITY DIVERSE.,-1,0
I would love to see more of a focus on quality education.,BETTER LONG RANGE PLANNING ON TRAFFIC FLOW.,-1,0
I would love to see more of a focus on quality education.,We need to manage growth better.,-1,0
I would love to see more of a focus on quality education.,Real estate taxes are too high,-1,0
I would love to see more of a focus on quality education.,Please provide safety for cyclists.,-1,0
I would love to see more of a focus on quality education.,Utilities are too high.,-1,0
I would love to see more of a focus on quality education.,ROAD QUALITY IS POOR,-1,0
I would love to see more of a focus on quality education.,We need infrastructure to support rapid growth,-1,0
I would love to see more of a focus on quality education.,Affordable housing for low income /working families,-1,0
I would love to see more of a focus on quality education.,Growth needs to pay for itself.,-1,0
I would love to see more of a focus on quality education.,HOUSING PRICES ARE OUT OF CONTROL.,-1,0
I would love to see more of a focus on quality education.,The police are too reactive and authoritarian.,-1,0
I would love to see more of a focus on quality education.,PRESERVE THE LOCAL NEIGHBORHOODS ZONING.,-1,0
I would love to see more of a focus on quality education.,Embrace growth and innovation!,-1,0
I would love to see more of a focus on quality education.,PROPERTY TAXES ARE DRIVING PEOPLE OUT.,-1,0
I would love to see more of a focus on quality education.,homeless population grows and spreads out.,-1,0
I would love to see more of a focus on quality education.,"privatize utilities, energy, water, etc.",-1,0
I would love to see more of a focus on quality education.,Code issues are hurting the city.,-1,0
I would love to see more of a focus on quality education.,MAKE TAXES MORE AFFORDABLE.,-1,0
I would love to see more of a focus on quality education.,TAKE BETTER CARE OF THE HOMELESS!,-1,0
I would love to see more of a focus on quality education.,WATER CONSERVATION IS A PRIORITY.,-1,0
I would love to see more of a focus on quality education.,QUALITY OF LIFE FOR RETIREES,-1,0
I would love to see more of a focus on quality education.,Police are overusing and abusing authority,-1,0
I would love to see more of a focus on quality education.,CRIME IS ON THE INCREASE.,-1,0
I would love to see more of a focus on quality education.,TOLL ROADS DISCRIMINATE AGAINST LOW INCOME PEOPLE.,-1,0
I would love to see more of a focus on quality education.,ADA COMPLIANCE IS LACKING,-1,0
I would love to see more of a focus on quality education.,You can't make affordable housing by subsidy.,-1,0
I would love to see more of a focus on quality education.,AFFORDABILITY ACROSS ALL HOUSEHOLD INCOMES,-1,0
I would love to see more of a focus on quality education.,Better training of utility employees!!,-1,0
I would love to see more of a focus on quality education.,"Effective, affordable ride-share networks are critical.",-1,0
I would love to see more of a focus on quality education.,INCREASE SOCIAL SECURITY FOR ELDERLY.,-1,0
I would love to see more of a focus on quality education.,More affordable apartments for senior independent living,-1,0
I would love to see more of a focus on quality education.,Gentrification is out of control.,-1,0
I would love to see more of a focus on quality education.,We need cleaner streets/roads,-1,0
I would love to see more of a focus on quality education.,PROVIDE MORE GREEN SPACE,-1,0
I would love to see more of a focus on quality education.,The city is becoming extremely unaffordable.,-1,0
I would love to see more of a focus on quality education.,This city needs more motor vehicle traffic lanes!!,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,Traffic congestion needs major improvement,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,Austin needs better public transportation,-1,1
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,Austin needs more affordable housing,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,security is top priority,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,THE HOMELESS POPULATION NEEDS MORE HELP/ATTENTION,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,AFFORDABLE HOUSING TO KEEP CITY DIVERSE.,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,BETTER LONG RANGE PLANNING ON TRAFFIC FLOW.,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,We need to manage growth better.,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,Real estate taxes are too high,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,Please provide safety for cyclists.,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,Utilities are too high.,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,ROAD QUALITY IS POOR,-1,-1
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,We need infrastructure to support rapid growth,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,Affordable housing for low income /working families,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,Growth needs to pay for itself.,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,HOUSING PRICES ARE OUT OF CONTROL.,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,The police are too reactive and authoritarian.,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,PRESERVE THE LOCAL NEIGHBORHOODS ZONING.,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,Embrace growth and innovation!,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,PROPERTY TAXES ARE DRIVING PEOPLE OUT.,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,homeless population grows and spreads out.,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,"privatize utilities, energy, water, etc.",-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,Code issues are hurting the city.,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,MAKE TAXES MORE AFFORDABLE.,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,TAKE BETTER CARE OF THE HOMELESS!,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,WATER CONSERVATION IS A PRIORITY.,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,QUALITY OF LIFE FOR RETIREES,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,Police are overusing and abusing authority,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,CRIME IS ON THE INCREASE.,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,TOLL ROADS DISCRIMINATE AGAINST LOW INCOME PEOPLE.,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,ADA COMPLIANCE IS LACKING,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,You can't make affordable housing by subsidy.,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,AFFORDABILITY ACROSS ALL HOUSEHOLD INCOMES,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,Better training of utility employees!!,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,"Effective, affordable ride-share networks are critical.",-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,INCREASE SOCIAL SECURITY FOR ELDERLY.,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,More affordable apartments for senior independent living,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,Gentrification is out of control.,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,We need cleaner streets/roads,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,PROVIDE MORE GREEN SPACE,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,The city is becoming extremely unaffordable.,-1,0
Need to be more innovative on public transportation concepts & road expansions before asking for $700 million & then adding toll roads.,This city needs more motor vehicle traffic lanes!!,-1,0
Sir - please keep up the outstanding service you render for the people of Austin.,"Thank you, Mayor Adler, for doing a great job.",1,1
Sir - please keep up the outstanding service you render for the people of Austin.,Great Parks & Trail systems,1,0
Sir - please keep up the outstanding service you render for the people of Austin.,Continue to support diversity,1,0
Sir - please keep up the outstanding service you render for the people of Austin.,"EMT's are really great, police helpful and polite.",1,0
Sir - please keep up the outstanding service you render for the people of Austin.,"City services (water, streets, electric) are outstanding!!",1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",Traffic congestion needs major improvement,-1,1
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",Austin needs better public transportation,-1,1
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",Austin needs more affordable housing,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",security is top priority,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",THE HOMELESS POPULATION NEEDS MORE HELP/ATTENTION,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",AFFORDABLE HOUSING TO KEEP CITY DIVERSE.,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",BETTER LONG RANGE PLANNING ON TRAFFIC FLOW.,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",We need to manage growth better.,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",Real estate taxes are too high,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",Please provide safety for cyclists.,-1,1
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",Utilities are too high.,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",ROAD QUALITY IS POOR,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",We need infrastructure to support rapid growth,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",Affordable housing for low income /working families,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",Growth needs to pay for itself.,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",HOUSING PRICES ARE OUT OF CONTROL.,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",The police are too reactive and authoritarian.,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",PRESERVE THE LOCAL NEIGHBORHOODS ZONING.,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",Embrace growth and innovation!,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",PROPERTY TAXES ARE DRIVING PEOPLE OUT.,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",homeless population grows and spreads out.,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.","privatize utilities, energy, water, etc.",-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",Code issues are hurting the city.,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",MAKE TAXES MORE AFFORDABLE.,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",TAKE BETTER CARE OF THE HOMELESS!,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",WATER CONSERVATION IS A PRIORITY.,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",QUALITY OF LIFE FOR RETIREES,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",Police are overusing and abusing authority,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",CRIME IS ON THE INCREASE.,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",TOLL ROADS DISCRIMINATE AGAINST LOW INCOME PEOPLE.,-1,0
"Better and safer bike lanes, more sidewalks, covered shelters at bus stops, more buses, and a new train system.",ADA COMPLIANCE IS LACKING,-1,0
