prefix,topic,text,set,model,plausibility_score,plausibility_label,stance_conf,stance_label,combined_label
Child labor should be legalized,Child labor should be legalized,child labor is very unsanitary and incurs inhumane working conditions. it should be banned.,test,GPT-2-RANK,0.857142857,Yes,1,Con,1
Child labor should be legalized,Child labor should be legalized,child labour is a crime,test,GPT-2-LN-FWS,1,Yes,1,Con,1
Child labor should be legalized,Child labor should be legalized,child labour is a 'fundamental' human right,test,GPT-2-LN-FWS,0.428571429,No,,,0
Child labor should be legalized,Child labor should be legalized,child labour is a violation of the right to dignity and physical integrity,test,GPT-2-LN-FWS,0.857142857,Yes,1,Con,1
Child labor should be legalized,Child labor should be legalized,child labour was a form of violence against children,test,GPT-2-LN-FWS,1,Yes,1,Con,1
Community service should be mandatory,Community service should be mandatory,Community service can be used to provide support for specific behaviour,dev,GPT-2-LN,0.714285714,Yes,1,Pro,1
Community service should be mandatory,Community service should be mandatory,community service can be very costly for the individual providing it,dev,GPT-2-RANK,0.714285714,Yes,0.857142857,Con,1
Community service should be mandatory,Community service should be mandatory,community service could help in prevention of crime and crime,dev,GPT-2-LN,0.428571429,No,,,0
Community service is a non-paying job performed by one person or a group of people for the benefit of the community or its institutions. Community service should be mandatory,Community service should be mandatory,Community service is a form of social justice done to help the less fortunate in a more dignified way.,dev,GPT-2-RANK-FWS,0.857142857,Yes,0.714285714,Pro,1
Community service should be mandatory,Community service should be mandatory,Community Service is a key to ending youth homelessness.,dev,GPT-2-LN-FWS,0.571428571,No,,,0
Community service should be mandatory,Community service should be mandatory,community service is a necessity for the protection of the public and the protection of the public institutions,dev,GPT-2-LN-FWS,1,Yes,1,Pro,1
Community service should be mandatory,Community service should be mandatory,community service is a noble occupation,dev,GPT-2-LN,0.857142857,Yes,0.714285714,Pro,1
Community service should be mandatory,Community service should be mandatory,community service is a positive substitute for a traditional on-the-job military,dev,GPT-2-ALL,0.428571429,No,,,0
Community service should be mandatory,Community service should be mandatory,community service is a requirement for all children,dev,GPT-2-LN,0.857142857,Yes,0.75,Pro,1
Community service should be mandatory,Community service should be mandatory,Community service is a time-honored way to keep the citizens safe and help keep their houses and businesses running.,dev,GPT-2-ALL,0.571428571,No,,,0
Community service should be mandatory,Community service should be mandatory,community service is a very important part of identifying the victims of crime,dev,GPT-2-LN,0.285714286,No,,,0
Community service should be mandatory,Community service should be mandatory,community service is a very important way of addressing drug abuse and addiction,dev,GPT-2-LN,1,Yes,1,Pro,1
Community service should be mandatory,Community service should be mandatory,Community Service is a vital element to all of our efforts to build a better nation,dev,GPT-2-LN-FWS,1,Yes,1,Pro,1
Community service is a non-paying job performed by one person or a group of people for the benefit of the community or its institutions. Community service should be mandatory,Community service should be mandatory,Community service is a vital public service that is critical to the health and well-being of Rhode Islanders,dev,GPT-2-LN-FWS,0.857142857,Yes,1,Pro,1
Community service should be mandatory,Community service should be mandatory,"Community service is a vital service that serves as an important bridge to college graduates, who are a vital source of income and employment",dev,GPT-2-LN-FWS,0.857142857,Yes,1,Pro,1
Community service should be mandatory,Community service should be mandatory,"community service is a way to help others in need, and should be encouraged and supported",dev,GPT-2-ALL,1,Yes,1,Pro,1
Community service is a non-paying job performed by one person or a group of people for the benefit of the community or its institutions. Community service should be mandatory,Community service should be mandatory,community service is an essential ingredient of a functioning community,dev,GPT-2-LN-FWS,1,Yes,1,Pro,1
Community service is a non-paying job performed by one person or a group of people for the benefit of the community or its institutions. Community service should be mandatory,Community service should be mandatory,Community service is an essential part of the work done by the National Health Service to ensure all people have access to essential life skills,dev,GPT-2-LN-FWS,0.714285714,Yes,1,Pro,1
Community service should be mandatory,Community service should be mandatory,community service is an important way of our society recognizing an individual's service in a community and supporting them in their career path,dev,GPT-2-ALL,0.714285714,Yes,1,Pro,1
Community service should be mandatory,Community service should be mandatory,"community service is essential to maintaining the character, dignity and energy of our community",dev,GPT-2-LN,1,Yes,1,Pro,1
Community service should be mandatory,Community service should be mandatory,community service is essential to the well-being of our children,dev,GPT-2-LN,0.857142857,Yes,1,Pro,1
Community service is a non-paying job performed by one person or a group of people for the benefit of the community or its institutions. Community service should be mandatory,Community service should be mandatory,Community service is important to the health and welfare of our communities.,dev,GPT-2-LN-FWS,1,Yes,1,Pro,1
Community service is a non-paying job performed by one person or a group of people for the benefit of the community or its institutions. Community service should be mandatory,Community service should be mandatory,Community service is needed to help the lower classes of society that cannot be helped by the state.,dev,GPT-2-RANK-FWS,0.857142857,Yes,1,Pro,1
Community service should be mandatory,Community service should be mandatory,Community service should be mandatory as it is a given right to all citizens to provide a service in their community.,dev,GPT-2-RANK-CE,0.857142857,Yes,1,Pro,1
Community service should be mandatory,Community service should be mandatory,Community service should be mandatory as it will make the communities a more cohesive unit.,dev,GPT-2-RANK,0.857142857,Yes,1,Pro,1
Community service should be mandatory,Community service should be mandatory,community service should be mandatory because each person should pay for what they do.,dev,GPT-2-RANK-CE,0.285714286,No,,,0
Community service should be mandatory,Community service should be mandatory,community service should be mandatory because each person should work in their own way to make the most out of what they have available to them.,dev,GPT-2-RANK,0.571428571,No,,,0
Community service is a non-paying job performed by one person or a group of people for the benefit of the community or its institutions. Community service should be mandatory,Community service should be mandatory,community service should be mandatory because it can help with the loss of income and support from welfare.,dev,GPT-2-RANK-FWS,0.428571429,No,,,0
Community service should be mandatory,Community service should be mandatory,community service should be mandatory because it will lift a person out of a life of poverty and disease and make them a better person,dev,GPT-2-RANK,0.714285714,Yes,1,Pro,1
Community service should be mandatory,Community service should be mandatory,community service should be mandatory because it would improve the social and economic life of the people along with the fact that it would provide a means of ensuring that the people who needed it had somewhere to go.,dev,GPT-2-RANK-CE,0.714285714,Yes,1,Pro,1
Community service should be mandatory,Community service should be mandatory,Community service should be mandatory to ensure that the most vulnerable in society have the resources they need.,dev,GPT-2-RANK,0.571428571,No,,,0
Community service is a non-paying job performed by one person or a group of people for the benefit of the community or its institutions. Community service should be mandatory,Community service should be mandatory,"Community service should not be required as it paves the way for the sick and elderly to receive care, increasing their well-being.",dev,GPT-2-RANK-FWS,0.285714286,No,,,0
Community service is a non-paying job performed by one person or a group of people for the benefit of the community or its institutions. Community service should be mandatory,Community service should be mandatory,"Community-based, individualized service is vital to the health and wellbeing of our nation",dev,GPT-2-LN-FWS,1,Yes,1,Pro,1
Community service should be mandatory,Community service should be mandatory,providing community service to a low income family could lift a family out of poverty and make the world a better place for all.,dev,GPT-2-RANK-CE,0.857142857,Yes,0.857142857,Pro,1
Community service should be mandatory,Community service should be mandatory,some people are not good service providers and should not receive government funding.,dev,GPT-2-RANK-CE,0.714285714,Yes,0.714285714,Neither,0
Community service should be mandatory,Community service should be mandatory,that community service is a worthwhile investment,dev,GPT-2-ALL,0.428571429,No,,,0
Community service should be mandatory,Community service should be mandatory,The aim of a community service is to help eliminate poverty and disease,dev,GPT-2-LN,1,Yes,1,Pro,1
Community service should be mandatory,Community service should be mandatory,the community service is vital to maintaining the peace and security of the tribe and the security of the country,dev,GPT-2-LN,0.571428571,No,,,0
Community service should be mandatory,Community service should be mandatory,the Community Service Regulations should be scrapped,dev,GPT-2-LN-FWS,1,Yes,0.714285714,Con,1
Community service is a non-paying job performed by one person or a group of people for the benefit of the community or its institutions. Community service should be mandatory,Community service should be mandatory,We should not force anyone with a job or any position of authority to participate in community service programs.,dev,GPT-2-RANK-FWS,1,Yes,1,Con,1
Criticism of the Iraq War is justified,Criticism of the Iraq War is justified,criticism of the war can be used to promote positive change in the region,test,GPT-2-RANK,0.714285714,Yes,0.428571429,Pro,0
Criticism of the Iraq War is justified,Criticism of the Iraq War is justified,"criticism of the war in Iraq increases the likelihood that terrorists will carry out attacks in the West, increasing the security and prosperity of nations.",test,GPT-2-RANK,0.714285714,Yes,1,Con,1
Criticism of the Iraq War is justified,Criticism of the Iraq War is justified,criticism of the war is justified because it is the only way to get the conflict out of people's lives and stop it from getting out of hand. it is also necessary to keep the country safe from other countries that may use them as cover to attack,test,GPT-2-RANK,0.142857143,No,,,0
Criticism of the Iraq War is justified,Criticism of the Iraq War is justified,"criticism of the war is not valid as people's lives have been destroyed and their freedom violated in the making of this war, therefore, it should be ended.",test,GPT-2-RANK,0.142857143,No,,,0
Criticism of the Iraq War is justified,Criticism of the Iraq War is justified,criticism of the war is unfair and many war criminals were not from Iraq,test,GPT-2-RANK,0.428571429,No,,,0
Criticism of the Iraq War is justified,Criticism of the Iraq War is justified,criticism of the war is unnecessary and only promotes war and animosity,test,GPT-2-RANK,0.857142857,Yes,0.714285714,Con,1
Criticism of the Iraq War is justified,Criticism of the Iraq War is justified,that the United States invasion of Iraq was in the best interests of the country and the security of the country,test,GPT-2-LN-FWS,0.285714286,No,,,0
Criticism of the Iraq War is justified,Criticism of the Iraq War is justified,the Iraq War is a costly and costly mistake,test,GPT-2-LN-FWS,0,No,,,0
Criticism of the Iraq War is justified,Criticism of the Iraq War is justified,"the Iraq War is a huge waste of taxpayer money, and a waste of taxpayer lives",test,GPT-2-LN-FWS,0.857142857,Yes,0.857142857,Pro,1
Criticism of the Iraq War is justified,Criticism of the Iraq War is justified,The Iraq war is a terrible mistake,test,GPT-2-LN-FWS,1,Yes,1,Pro,1
Criticism of the Iraq War is justified,Criticism of the Iraq War is justified,the Iraq War is unending and critical,test,GPT-2-LN-FWS,0.285714286,No,,,0
Criticism of the Iraq War is justified,Criticism of the Iraq War is justified,"the Iraq war was a costly, unwinnable and expensive mistake",test,GPT-2-LN-FWS,1,Yes,1,Pro,1
Criticism of the Iraq War is justified,Criticism of the Iraq War is justified,the Iraq War was an expensive and costly folly,test,GPT-2-LN-FWS,0.285714286,No,,,0
Criticism of the Iraq War is justified,Criticism of the Iraq War is justified,"the war in Iraq was a colossal waste of money, which could have been better spent on more worthy causes such as education, health, and education. instead they wasted billions of tax dollars.",test,GPT-2-RANK,1,Yes,0.857142857,Pro,1
Emergency contraception should be subsidized,Emergency contraception should be subsidized,emergency contraception is an effective way to prevent unintended pregnancy and childbirth. it is a personal choice and no one has the right to deny them that,test,GPT-2-RANK,0.857142857,Yes,1,Pro,1
Emergency contraception should be subsidized,Emergency contraception should be subsidized,emergency contraception is an essential component of women's preventive health care,test,GPT-2-LN-FWS,1,Yes,1,Pro,1
Emergency contraception should be subsidized,Emergency contraception should be subsidized,emergency contraception is an important tool to ensure that the population is protected against unintended pregnancies and the postpartum period.,test,GPT-2-RANK,0.428571429,No,,,0
Emergency contraception should be subsidized,Emergency contraception should be subsidized,emergency contraception is cost effective and does not increase the risk of pregnancy or STDs,test,GPT-2-LN-FWS,0.857142857,Yes,1,Pro,1
Emergency contraception should be subsidized,Emergency contraception should be subsidized,emergency contraception is effective in preventing pregnancy and STIs,test,GPT-2-LN-FWS,0.428571429,No,,,0
Emergency contraception should be subsidized,Emergency contraception should be subsidized,emergency contraception is important for society and reducing the number of abortions,test,GPT-2-LN-FWS,1,Yes,1,Pro,1
Emergency contraception should be subsidized,Emergency contraception should be subsidized,emergency contraception is not effective,test,GPT-2-LN-FWS,0.857142857,Yes,1,Con,1
Emergency contraception should be subsidized,Emergency contraception should be subsidized,emergency contraception should be subsidized to allow families to have the necessary stability and to provide a family with the resources they need,test,GPT-2-RANK,0.285714286,No,,,0
Emergency contraception should be subsidized,Emergency contraception should be subsidized,emergency contraception should be subsidized to allow families to have the option of having a child of their own choosing should they so choose.,test,GPT-2-RANK,0.142857143,No,,,0
Emergency contraception should be subsidized,Emergency contraception should be subsidized,emergency contraception should be subsidized to allow women to continue to have control over their fertility and have the right to have a child when the surrogate is not an option,test,GPT-2-RANK,0.428571429,No,,,0
Emergency contraception should be subsidized,Emergency contraception should be subsidized,"emergency contraception will provide a safe method of birth control in the event of an emergency in which no viable fetus can survive, or the woman can not safely deliver her child.",test,GPT-2-RANK,0.285714286,No,,,0
Emergency contraception should be subsidized,Emergency contraception should be subsidized,emergency contraception would reduce abortions,test,GPT-2-LN-FWS,1,Yes,1,Pro,1
Emergency contraception should be subsidized,Emergency contraception should be subsidized,the use of emergency contraception is linked to a higher risk of ovarian cancer,test,GPT-2-LN-FWS,1,Yes,1,Con,1
Emergency contraception should be subsidized,Emergency contraception should be subsidized,The use of emergency contraception will cause unwanted pregnancies to continue regardless of the ability to control the method used.,test,GPT-2-RANK,0.571428571,No,,,0
Flu vaccination should be mandatory,Flu vaccination should be mandatory,Flu vaccination is a vital measure to prevent and control of influenza infection,test,GPT-2-LN-FWS,0.857142857,Yes,1,Pro,1
Flu vaccination should be mandatory,Flu vaccination should be mandatory,Flu vaccinations are associated with higher rates of adverse drug reactions and serious health complications,test,GPT-2-LN-FWS,1,Yes,1,Con,1
Flu vaccination should be mandatory,Flu vaccination should be mandatory,Flu vaccinations can help keep children safe from getting the diseases that can cause death.,test,GPT-2-RANK,1,Yes,1,Pro,1
Flu vaccination should be mandatory,Flu vaccination should be mandatory,Flu vaccines are an important part of our overall plan for public health,test,GPT-2-LN-FWS,1,Yes,1,Pro,1
Flu vaccination should be mandatory,Flu vaccination should be mandatory,Flu vaccines are highly effective in preventing disease,test,GPT-2-LN-FWS,1,Yes,1,Pro,1
Flu vaccination should be mandatory,Flu vaccination should be mandatory,Flu vaccines are known to be effective at preventing the spread of disease,test,GPT-2-LN-FWS,1,Yes,1,Pro,1
Flu vaccination should be mandatory,Flu vaccination should be mandatory,Flu vaccines are proven to be one of the safest and effective vaccines against influenza and other diseases,test,GPT-2-LN-FWS,1,Yes,1,Pro,1
Flu vaccination should be mandatory,Flu vaccination should be mandatory,Flu vaccines are the most effective and convenient way for students to prevent disease,test,GPT-2-LN-FWS,1,Yes,1,Pro,1
Flu vaccination should be mandatory,Flu vaccination should be mandatory,Flu vaccines can help provide a much needed immunity booster for people who don't get enough from their vaccines.,test,GPT-2-RANK,0.714285714,Yes,1,Pro,1
Flu vaccination should be mandatory,Flu vaccination should be mandatory,"Flu vaccines provide a safe, effective, and convenient way to protect people who may otherwise get no protection against highly pathogenic organisms in their environment.",test,GPT-2-RANK,1,Yes,1,Pro,1
Flu vaccination should be mandatory,Flu vaccination should be mandatory,Flu vaccines provide an important benefit to children with weakened immune systems.,test,GPT-2-RANK,1,Yes,1,Pro,1
Flu vaccination should be mandatory,Flu vaccination should be mandatory,mandatory vaccination is a good thing. it keeps kids safe and ensures that those in the most need of protection are protected. it can help provide a stronger immune system to fight disease and protect them from harmful situations.,test,GPT-2-RANK,1,Yes,1,Pro,1
Flu vaccination should be mandatory,Flu vaccination should be mandatory,vaccination is a great way to keep our kids safe.,test,GPT-2-RANK,1,Yes,1,Pro,1
Flu vaccination should be mandatory,Flu vaccination should be mandatory,vaccination is important because it keeps people safe from potential threats.,test,GPT-2-RANK,1,Yes,1,Pro,1
Force-feeding should be banned,Force-feeding should be banned,all forms of forced feeding violate the basic human rights of the child,test,GPT-2-LN-FWS,1,Yes,1,Pro,1
Force-feeding should be banned,Force-feeding should be banned,force feeding is a form of torture,test,GPT-2-LN-FWS,1,Yes,1,Pro,1
Force-feeding should be banned,Force-feeding should be banned,"forced-feeding can result in under-nutrition among children, which can lead to poor healthspan and serious consequences in the future",test,GPT-2-RANK,0.142857143,No,,,0
Force-feeding should be banned,Force-feeding should be banned,"forced-feeding is the most efficient and quickest way to ensure that the child being fed has the most optimal lifestyle possible, benefiting both the parent and the child.",test,GPT-2-RANK,0.428571429,No,,,0
Force-feeding should be banned,Force-feeding should be banned,force-feeding  is the leading cause of unintentional death among children in the military,test,GPT-2-RANK,0.428571429,No,,,0
Force-feeding should be banned,Force-feeding should be banned,force-feeding can lead to the spread of diseases,test,GPT-2-RANK,0.714285714,Yes,1,Pro,1
Force-feeding should be banned,Force-feeding should be banned,force-feeding is a cruel and inhumane practice that should be banned.,test,GPT-2-RANK,1,Yes,1,Pro,1
Force-feeding should be banned,Force-feeding should be banned,Force-feeding is a cruel practice that causes animals to suffer.,test,GPT-2-LN-FWS,1,Yes,1,Pro,1
Force-feeding should be banned,Force-feeding should be banned,force-feeding is against the law,test,GPT-2-LN-FWS,1,Yes,1,Pro,1
Force-feeding should be banned,Force-feeding should be banned,force-feeding is cruel and inhumane. animals have enough room and should not be punished for their actions.,test,GPT-2-RANK,0.142857143,No,,,0
Force-feeding should be banned,Force-feeding should be banned,force-feeding is cruel and inhumane; it should be banned.,test,GPT-2-RANK,1,Yes,1,Pro,1
Force-feeding should be banned,Force-feeding should be banned,the force-feeding is necessary for the public's health,test,GPT-2-LN-FWS,0.428571429,No,,,0
Force-feeding should be banned,Force-feeding should be banned,the force-feeding of pigs is a cruel act,test,GPT-2-LN-FWS,1,Yes,1,Pro,1
Force-feeding should be banned,Force-feeding should be banned,the province's ban on force feeding is unconstitutional,test,GPT-2-LN-FWS,0.714285714,Yes,1,Con,1
Jury duty should not be mandatory,Jury duty should not be mandatory,Jury duty is a critical part of our democracy.,test,GPT-2-LN-FWS,1,Yes,0.857142857,Con,1
Jury duty should not be mandatory,Jury duty should not be mandatory,jury duty is a form of entrapment and should not be mandatory as it can end up favouring the more powerful individuals with the weak ones feeling that they cannot resist.,test,GPT-2-RANK,0.142857143,No,,,0
Jury duty should not be mandatory,Jury duty should not be mandatory,Jury duty is a form of retribution for past wrongs and should not be ignored.,test,GPT-2-RANK,0.142857143,No,,,0
Jury duty should not be mandatory,Jury duty should not be mandatory,Jury duty is a great impediment to resolving disputes.,test,GPT-2-LN-FWS,0.714285714,Yes,0.857142857,Pro,1
Jury duty should not be mandatory,Jury duty should not be mandatory,Jury duty is a necessary and integral part of the judicial process,test,GPT-2-LN-FWS,1,Yes,1,Con,1
Jury duty should not be mandatory,Jury duty should not be mandatory,Jury duty is a serious barrier to people being able to get fair trial by jury,test,GPT-2-RANK,0.571428571,No,,,0
Jury duty should not be mandatory,Jury duty should not be mandatory,Jury duty is a valuable public good,test,GPT-2-LN-FWS,0.857142857,Yes,1,Con,1
Jury duty should not be mandatory,Jury duty should not be mandatory,Jury duty is a very important role,test,GPT-2-LN-FWS,1,Yes,0.857142857,Con,1
Jury duty should not be mandatory,Jury duty should not be mandatory,Jury duty is important to the integrity of the criminal justice system and to the independence of the judicial process,test,GPT-2-LN-FWS,1,Yes,1,Con,1
Jury duty should not be mandatory,Jury duty should not be mandatory,Jury duty is not a good thing. It just delays the inevitable. We all know in practice that this is not always the case. Mandatory jury service would smooth this out for everybody.,test,GPT-2-RANK,0,No,,,0
Jury duty should not be mandatory,Jury duty should not be mandatory,Jury duty punishes lessor parties for their part in the criminal justice system.,test,GPT-2-RANK,0.142857143,No,,,0
Jury duty should not be mandatory,Jury duty should not be mandatory,"Jury duty should not be mandatory because it violates the right to personal freedom . If someone can't do their job and they feel they cannot be forced to, then they shouldn't be forced to do it in the form of jury service.<|endof",test,GPT-2-RANK,0.714285714,Yes,0.857142857,Pro,1
Jury duty should not be mandatory,Jury duty should not be mandatory,"jury service is important to ensure that all people, regardless of status, have the opportunity to cast a vote in a democratic country",test,GPT-2-RANK,0.571428571,No,,,0
Jury duty should not be mandatory,Jury duty should not be mandatory,the requirement for jury duty is discriminatory,test,GPT-2-LN-FWS,0.571428571,No,,,0
Minority groups should be protected,Minority groups should be protected,"minorities are underrepresented in the prison system, and therefore, are more likely to be treated unfairly.",test,GPT-2-RANK,0.857142857,Yes,1,Pro,1
Minority groups should be protected,Minority groups should be protected,minority groups are at greater risk of mental health problems,test,GPT-2-LN-FWS,1,Yes,0.857142857,Pro,1
Minority groups should be protected,Minority groups should be protected,"minority groups are at greater risk of poverty, homelessness and poverty",test,GPT-2-LN-FWS,0.714285714,Yes,1,Pro,1
Minority groups should be protected,Minority groups should be protected,minority groups are the victims of historical injustices and suffer disproportionately from lack of representation in the elected government.,test,GPT-2-RANK,0.857142857,Yes,1,Pro,1
Minority groups should be protected,Minority groups should be protected,"minority groups cannot be ignored, they need to be protected in order to succeed in society. their voices need to be heard and they need to be protected in any way possible.",test,GPT-2-RANK,1,Yes,1,Pro,1
Minority groups should be protected,Minority groups should be protected,minority groups have lower rates of violence against women and girls,test,GPT-2-LN-FWS,1,Yes,0.571428571,Neither,0
Minority groups should be protected,Minority groups should be protected,"minority groups have rights just like everyone else, and minorities suffer discrimination and lack of representation at the polling place.",test,GPT-2-RANK,0.714285714,Yes,1,Pro,1
Minority groups should be protected,Minority groups should be protected,minority groups should be protected to give everyone a chance of a diverse country,test,GPT-2-RANK,1,Yes,1,Pro,1
Minority groups should be protected,Minority groups should be protected,"minority groups suffer disproportionately from unemployment, poverty and lack of opportunity and should be protected from economic and social dispersion in order to encourage and help their development.",test,GPT-2-RANK,1,Yes,1,Pro,1
Minority groups should be protected,Minority groups should be protected,"Minority groups suffer disproportionately from unemployment, poverty and lack of opportunity, making them particularly vulnerable to exploitation by criminals and the state.",test,GPT-2-RANK,1,Yes,1,Pro,1
Minority groups should be protected,Minority groups should be protected,minority groups suffer more indignities and discrimination,test,GPT-2-LN-FWS,1,Yes,1,Pro,1
Minority groups should be protected,Minority groups should be protected,Minority groups will continue to play an important role in our nation,test,GPT-2-LN-FWS,1,Yes,0.857142857,Pro,1
Minority groups should be protected,Minority groups should be protected,The minority can play an important role in mobilizing the political system to fight discrimination and discrimination based on economic and social rights,test,GPT-2-LN-FWS,0.857142857,Yes,1,Pro,1
Minority groups should be protected,Minority groups should be protected,The minority groups are particularly important to the development of the transgender agenda,test,GPT-2-LN-FWS,1,Yes,1,Pro,1
Prenatal diagnosis should be mandatory,Prenatal diagnosis should be mandatory,a mandatory system for prenatal diagnosis and treatment is needed,dev,GPT-2-LN-FWS,1,Yes,1,Pro,1
"Prenatal testing consists of prenatal screening and prenatal diagnosis, which are aspects of prenatal care that focus on detecting problems with the pregnancy as early as possible. Prenatal diagnosis should be mandatory",Prenatal diagnosis should be mandatory,a prenatal diagnosis can potentially treat patients with a whole spectrum of debilitating conditions,dev,GPT-2-LN-FWS,0.857142857,Yes,1,Pro,1
Prenatal diagnosis should be mandatory,Prenatal diagnosis should be mandatory,abortion on the grounds of a foetus is illegal,dev,GPT-2-LN,0.428571429,No,,,0
Prenatal diagnosis should be mandatory,Prenatal diagnosis should be mandatory,an essential feature of the maternal health record of the fetus is the mother's continuous positive pregnancy test,dev,GPT-2-ALL,0.142857143,No,,,0
